id;company_name;contact_email;industry;tier;address;phone;website
1;remorseful beyond;loudly zowie jovially;athwart;25068;brr until oh;653.371.6187;wrapping
2;for casualty;psst;yam for;30254;overdue furthermore outset;1-346-327-5828;century
3;fast dramatic times;classroom mezzanine;rapidly flatter;8193;harvest restfully;874.837.1063;interval but
4;finally limp because;pecan;gray an pace;10570;evince woot;605-558-5625 x490;athwart psst neon
5;tribe about;joyfully modulo expedition;because requisition;13603;certainly;941.565.1606 x1475;restrict implementation
6;wrecker;viciously shelve;hurtful furthermore tricky;10010;publicise diabetes into;575-651-0451 x770;downright
7;terminal;imperturbable boo;rudely;6641;reunite cobble;1-281-438-2885;concerning fell
8;disgrace;unto;colon;24551;correctly;391.602.3565 x71265;who afore yuck
9;but;observation brr;dirty leave frayed;3573;radicalize;(564) 822-4925 x37780;tip harmonious
10;happy-go-lucky brr;less blue bashfully;ha;2348;mine twilight;594.636.4422;gah youthfully formalise
